witness_ID;text_ID
Aberystwyth, National Library of Wales, MS Brogyntyn MS ii.1;Sir Gawain and the Carle of Carlisle
London, British Library, MS Cotton Nero A.x;Sir Gawain and the Green Knight
London, British Library, MS Royal 17.B.XLIII;Sir Gowther
Lincoln Cathedral Library, MS 91;Sir Isumbras
Cambridge, Gonville and Caius College, MS 175;Sir Isumbras
London, British Library, MS Cotton Caligula A.ii;Sir Isumbras
London, Gray's Inn, MS 20;Sir Isumbras
Naples, Biblioteca Nazionale, MS XIII.B.29;Sir Isumbras
Oxford, University College, MS 142;Sir Isumbras
London, British Library, MS Cotton Caligula A.ii;Sir Launfal
London, British Library, MS Harley 3810;Sir Orfeo
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Sir Orfeo
Lincoln Cathedral Library, MS 91;Sir Percevale of Galles
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Sir Tristrem
Oxford, Bodleian Library, MS Eng. Poet. D. 208;Sir Tryamour
Cambridge University Library, MS Ff.2.38;Sir Tryamour
Princeton University Library, MS Garrett 140;Sultan of Babylon
Oxford, Bodleian Library, MS Digby 230;Titus and Vespasian
New York, Pierpont Morgan Library, MS M 898;Titus and Vespasian
New Haven, Beinecke Library, MS Osborn A. 11;Titus and Vespasian
London, British Library, MS Harley 4733;Titus and Vespasian
London, British Library, MS Additional 36983;Titus and Vespasian
London, British Library, MS Additional 36523;Titus and Vespasian
London, British Library, MS Additional 10036;Titus and Vespasian
Oxford, Bodleian Library, MS Douce 78;Titus and Vespasian
Cambridge, Magdalene College, MS Pepys 2014;Titus and Vespasian
Oxford, Bodleian Library, MS Laud Misc. 622;Titus and Vespasian
Oxford, Bodleian Library, MS Douce 126;Titus and Vespasian
Coventry, City Record Office, MS 325/1;Titus and Vespasian
Manchester, Chetham's Library, MS 8009;Torrent of Portyngale
Oxford, Bodleian Library, MS Ashmole 44;Wars of Alexander (Alexander Fragment C)
Cambridge, King's College, MS 13;William of Palerne
London, British Library, MS Cotton Galba E. ix;Ywain and Gawain
