witness_ID;text_ID
Antwerpen, O.L.V.-college, 88 C 6;Historie van Troyen
Den Haag, KB, 131 D 4;Historie van Troyen
Gent, Kon. Acad. Ned. Taal- en Letterk., 1;Historie van Troyen
"Parijs, BN, néerl. 126; Gent, UB, 691; Leuven, Coll. J.M. de Smet, z.s.";Historie van Troyen
Gent, UB, 1594;Historie van Troyen
Gent, Kon. Acad. Ned. Taal- en Letterk., 7 bis a;Historie van Troyen
Brussel, KB, IV 209,5;Historie van Troyen
Brussel, KB, IV 1275, 1;Historie van Troyen
Leiden, UB, BPL 2387 ;Historie van Troyen
Brussel, Stadsarchief, liasse 698;Historie van Troyen
New Haven Connecticut, Yale University Beinecke Rare Book and Manuscript Library, MS 712.36;Historie van Troyen
Abdijbibliotheek van Berne, z.s.;Historie van Troyen
Berlijn, Staatsbibliotheek Preussischer Kulturbesitz, Germ. fol. 751,3;Valentijn en Nameloos
Gent, UB, 2749,9;Valentijn en Nameloos
Brussel, KB, 15.589-623;Borchgravinne van Vergi (1)
Gent, UB, 1590;Borchgravinne van Vergi (2)
Leiden, UB, Ltk. 195;Roman van Walewein
Gent, UB, 1619;Roman van Walewein
Den Haag, KB, 129 A 10;Walewein ende Keye
Gent, UB, 2749,10;Willem van Oringen
Londen, BL, Egert. 2323, f.3-4;Van den bere Wisselau
Den Haag, KB, 129 A 10;Wrake van Ragisel
Düsseldorf, UB, F 26,a;Wrake van Ragisel
"Düsseldorf, UB, F 26,b; Leiden, UB, BPL 3085";Wrake van Ragisel
Krakau, Bibl. Jagiellonska (olim Berlijn, Preuss. Staatsbibl., Germ.qu. 1303,1;Ongeïdentificeerd (1)
Gent, UB, 1646;Ongeïdentificeerd (2)
Leiden, UB, Ltk. 1199;Ongeïdentificeerd (3)
Alba Iulia, Bibl. Batthyaneum, z.s. [zoek];Ongeïdentificeerd (4)
Antwerpen, Bibl. Ruusbroecgenootsch., z.s. (1);Ongeïdentificeerd (5)
Antwerpen, Bibl. Ruusbroecgenootsch., z.s. (2);Ongeïdentificeerd (6)
Gent, UB, 173;Ongeïdentificeerd (7)
Leiden, UB, BPL 2894;Ongeïdentificeerd (8)
Antwerpen, Universiteitsbibliotheek, MAG-P 64.19;Alexanderroman
Oxford, Bodleian Library, Ms. Dutch b. 2, fol. 6;Willem van Oringen II
"Rotterdam, gemeentebibliotheek 96 A 7; Rotselaar, Wezemaal, archief van de Sint-Martinuskerk";Proza-Lancelot
