witness_ID;text_ID;author
p_°Q_0100;BEdT 448,001a;Te(n)ço(n).
p_°Q_0100a;BEdT 119,001;0
p_°Q_0100b;BEdT 432,002;0
p_°Q_0101;BEdT 457,022;0
p_°Q_0102;BEdT 029,014;Narnart daniel.
p_°Q_0103;BEdT 029,006;Naruart.
p_°Q_0104;BEdT 029,004;Naruat.
p_°Q_0105;BEdT 029,002;Naruat.
p_°Q_0106;BEdT 029,017;Narnart.
p_°Q_0107;BEdT 457,022;0
p_°Q_0108;BEdT 457,022;0
p_°Q_0109;BEdT 461,245;0
p_°Q_0110;BEdT 461,084;0
p_°Q_0111;BEdT 234,016;Guilem d(e) leisdet.
p_°Q_0112;BEdT 234,007;Guilem.
p_°Q_0113;BEdT 392,015;Te(n)ço(n).
p_°Q_0114;BEdT 461,IV;0
p_°Q_0115;BEdT 461,058;0
p_°Q_0116;BEdT 461,024;0
p_°Q_0117;BEdT 223,006;0
p_°Q_0117_01;BEdT 012,001;0
p_°Q_0118;BEdT 421,001;Ricardus birbiscelus.
p_°Q_0119;BEdT 421,003;Ricardus birbiscelus.
p_°Q_0120;BEdT 421,010;Ricardus.
p_°Q_0121;BEdT 421,005;Ricardus.
p_°Q_0122;BEdT 421,006;Ricardus.
p_°Q_0123;BEdT 421,002;Ricardus.
p_°Q_0124;BEdT 167,047;Te(n)ço.
p_°Q_0125;BEdT 010,028;Te(n)ço(n).
p_°Q_0126;BEdT 370,003;Perdigons.
p_°Q_0127;BEdT 370,009;Perdigons.
p_°Q_0128;BEdT 370,014;Perdigons.
p_°Q_0129;BEdT 370,013;Perd(i)gons.
p_°Q_0130;BEdT 236,012;Te(n)ço(n).
p_°Q_0131a;BEdT 414,001;Te(n)ço(n).
p_°Q_0132;BEdT 392,020;Rambaut d(e) uagre(n)
p_°Q_0133;BEdT 392,018;Rambaut.
p_°Q_0134;BEdT 392,023;Rambaut.
p_°Q_0135;BEdT 392,013;Rambaut.
p_°Q_0136;BEdT 281,003;Ricardus.
p_°Q_0137;BEdT 389,038a;Ricardus.
p_°Q_0138_01@;BEdT 156,011;0
p_°Q_0139;BEdT 167,037;Gancelus faidit(us).
p_°Q_0140;BEdT 167,043;Gançelus.
