witness_ID;text_ID
RIA 23 E 25 (Leabhar na hUidhre);Fáistine Airt meic Cuind
TCL MS 1337;Feis Tige Chonáin
RIA MS 23 P 2 (Book of Lecan);Ferchuitred Medba
Bodleian Rawlinson B. 512;Ferchuitred Medba
RIA MS C i 2;Ferchuitred Medba
TCL MS 1339 (Book of Leinster);Fingal Rónáin
TCL MS 1337;Fingal Rónáin
RIA MS 23 P 2 (Book of Lecan);Finn & Gráinne
TCL MS 1337;Finn and the Man in the Tree
RIA MS 23 E 25 (Lebor na hUidre) and 5 other MSS;Fled Bricrenn
TCL MS 1318 (Yellow Book of Lecan);Fled Bricrenn & Loinges mac nDuíl Dermait
TCL MS 1318 (Yellow Book of Lecan) and 3 other MSS;Fled Dúin na nGéd
TCL MS 1339 (Book of Leinster);Fochonn loingse Fergusa meic Róig
UCC Book of Lismore;Forbais Droma Damgaire
Bodleian Rawlinson B. 512 and 5 other MSS;Forfess Fer Falgae
RIA MS 23 E 25 (Lebor na hUidre);Fótha Catha Cnucha
TCL MS 1318 (Yellow Book of Lecan);Fótha Catha Cnucha
UCC Book of Lismore;Cnucha cnoc os cind Life
RIA MS 23 E 25 (Lebor na hUidre);Genemain Áeda Sláine
TCL MS 1339 (Book of Leinster);Genemain Áeda Sláine
TCL MS 1318 (Yellow Book of Lecan);Genemain Chormaic
RIA MS 23 P 12 (Book of Ballymote);Genemain Chormaic
TCL MS 1319;Immacallam Choluim Chille & ind Óclaig
TCL MS 1337;Immacallam Choluim Chille & ind Óclaig
Bodelian Rawlinson B. 502;Immacallam in dá thúarad
TCL MS 1339 (Book of Leinster);Immacallam in dá thúarad
TCL MS 1318 (Yellow Book of Lecan) and 6 further MSS;Immacallam in dá thúarad
Bodelian Rawlinson B. 512;Immathchor (n)Ailella & Airt
BL Harley 5280;Immathchor (n)Ailella & Airt
RIA MS 23 N 10;Immathchor (n)Ailella & Airt
RIA MS 23 E 25 (Lebor na hUidre) and 7 further MSS;Immram Brain
RIA MS 23 E 25 (Lebor na hUidre);Immram curraig Maile Dúin
TCL MS 1318 (Yellow Book of Lecan);Immram curraig Maile Dúin
BL Harvey 5280;Immram curraig Maile Dúin
BL Egerton 1782;Immram curraig Maile Dúin
RIA MS 23 E 29 (Book fo Fermoy);Imram curaig Ua Corra
TCL MS 1318 (Yellow Book of Lecan);Imram Snédgusa & Meic Ríagla
TCL MS 1318 (Yellow Book of Lecan);Imram Snédgusa & Meic Ríagla
