Chartula 	153
Opera poetica 	67
Chronicorum libri IV cum continuationibus 	36
Lectura in Codicem, Additiones et glossae  	38
Recognitiones (secundum versionem Rufini Aquileiensis) 	111
De sex alis cherubim 	93
Constitutiones 	400
Collatio Alexandri et Dindimi 	80
Collectio 30 capitulorum 	23
Collectio 5 librorum 	32
Collectio 74 titulorum 	32
Collectio Anselmo dedicata 	20
Collectio Dacheriana 	56
Collectio Dionysio-Hadriana 	89
Collectio Hibernensis 	109
Collectio Hispana 	19
Collectio Lanfranci 	30
Collectio Vetus Gallica 	23
Compilatio de libris naturalibus Aristotelis et aliorum quorundam philosophorum 	40
Computus manualis (Cisioianus) 	31
Concordantiae Bibliae 	10
Summa confessorum 	36
Quaestiones super quattuor libros Sententiarum 	62
Exordium Magnum 	42
Speculum beatae Mariae Virginis 	227
Pantegni 	0
Viaticum 	0
Sermo de vita sancti episcopi et confessoris Zenonis 	35
Corpus juris civilis 	0
De differentia spiritus et animae (secundum versionem Johannis Avendhaut Hispani) 	85
Concordia Canonum 	34
Cur mundus militat sub vana gloria 	50
Liber de natura falconum 	12
Monarchia 	21
De excidio Troiae historia 	200
De exterioris et interioris hominis compositione secundum triplicem statum incipientium, proficientium et perfectorum libri tres 	440
De amazonibus 	25
De casibus reservatis episcopis 	62
De decretalibus 	20
De diebus aegyptiacis 	28
De doctrina cordis 	190
De excellentia virginis Mariae 	29
De forma vivendi monachorum 	40
De Lombardo et lumaca 	25
De non ducenda uxore 	66
De ordinis totius missae expositione 	31
De signis zodiaci 	27
De temperamentis 	45
De utilitatibus astrolabii 	70
Liber scintillarum 	368
Collectio canonum 	30
Dies irae, dies illa 	70
Digesta 	0
Apostille super Infortiato et Digesto novo 	67
Tractatus de successionibus de intestato 	61
Vita Pachomii Tabennensis 	53
Collectio Dionysiana 	34
Disticha Catonis 	105
Fons memorabilium universi 	36
De unitate et uno 	57
Dominus ac redemptor 	37
Commentaria in Sententias Petri Lombardi 	80
Graecismus  	210
Laborintus  	55
Annales regni Francorum 	38
Vita Karoli Magni 	137
Liber visionum 	150
Epistola Alexandri ad Aristotelem 	150
Epistola Lentuli 	75
Epistola Morbosani 	86
